State,Year,NO2 Mean,O3 Mean,SO2 Mean,CO Mean,SO2 AQI,CO AQI,O3 AQI,NO2 AQI,Year Average
Alabama,2013,0.012065634967741937,0.012098838709677418,0.000771912935483871,0.21187274193548386,6.580645161290323,4.129032258064516,18.903225806451612,21.387096774193548,0.05920228213709677
Alabama,2014,0.009412271341059599,0.024632635761589406,0.0011976176887417212,0.20614386092715245,7.956953642384106,3.7152317880794703,36.94701986754967,21.486754966887418,0.060346596429635795
Alabama,2015,0.009078580206666662,0.02399996666666667,0.001028069163333333,0.22138960333333343,6.95,3.933333333333333,37.343333333333334,20.026666666666667,0.06387405484250003
Alabama,2016,0.009524873194630872,0.028347744966442965,0.000859121288590604,0.21009688590604028,5.275167785234899,3.9060402684563758,39.29530201342282,23.093959731543624,0.06220715633892618
Alaska,2014,0.011658509608938546,0.010306575418994416,0.005955795312849161,0.45523198324022357,14.0,6.983240223463687,15.206703910614525,21.16759776536313,0.12078821589525142
Alaska,2015,0.011147825495238094,0.014200752380952376,0.006184455619047614,0.40685846984127,14.793650793650794,6.26984126984127,19.136507936507936,18.67936507936508,0.10959787583412703
Arizona,2000,0.026492343517045405,0.023663685227272763,0.002297970363636359,0.7460747761363631,7.4795454545454545,15.169318181818182,39.04204545454545,47.127272727272725,0.1996321938110794
Arizona,2001,0.022741468257709268,0.021631868942731298,0.0016740732092511044,0.6524227048458152,5.88215859030837,13.253303964757709,34.919603524229075,41.486784140969164,0.1746175288138767
Arizona,2002,0.023667800261351044,0.022801819490586923,0.0018822873444075301,0.707596469545958,6.842746400885936,13.655592469545958,36.72093023255814,43.52713178294574,0.18898709416057588
Arizona,2003,0.023099057885534603,0.022509245283018852,0.0018074476364779814,0.6339044867924523,6.568553459119497,12.241509433962264,35.48050314465409,41.89182389937107,0.17033005939937093
Arizona,2004,0.020126815505039187,0.0226097110862262,0.0016357470380739046,0.5119184804031359,5.931690929451288,9.879059350503919,35.64837625979843,38.64725643896976,0.1390726885081188
Arizona,2005,0.02135674226523545,0.023742904432132998,0.001857339219529081,0.6201663843490314,5.409972299168975,11.117728531855956,38.24653739612188,38.99445983379501,0.16678084256648223
Arizona,2006,0.020832936144466546,0.025206069582504917,0.00169889064214711,0.5577841464546048,4.937707090788602,10.44599072233267,40.269052352551356,38.38634857521537,0.15138051070593084
Arizona,2007,0.01933187704765622,0.024248746093750016,0.0015279936351562484,0.5106923249999998,4.35078125,9.6578125,37.375,36.42734375,0.1389502354441406
Arizona,2008,0.018256082296089417,0.02555710933758982,0.0014664453591380629,0.4274801787709486,4.1492418196328815,7.874700718276137,38.68156424581006,35.94173982442139,0.11818995394094148
Arizona,2009,0.01715495484525659,0.025390199844479017,0.0011850514455676482,0.424618349922239,3.201399688958009,7.572317262830482,37.11508553654743,33.80248833592535,0.11708713901438557
Arizona,2010,0.01591174787773585,0.02591067849056606,0.0010572230611320729,0.36707811773584875,3.0558490566037735,6.652075471698113,37.817358490566036,31.996981132075472,0.10248944179132069
Arizona,2011,0.016607303527435613,0.026828104143337084,0.0007867001500559914,0.3439127278835396,2.4501679731243002,6.216125419932811,38.694288913773796,31.609182530795074,0.09703370892609207
Arizona,2012,0.017825383705632306,0.0265207704569607,0.0009254900913921352,0.34397345270988344,2.3910733262486716,6.42720510095643,40.375132837407016,34.26673751328374,0.09731127424096715
Arizona,2013,0.015479527667006113,0.027972658859470464,0.0007293351965376788,0.32171011812627476,2.174134419551935,5.763747454175153,43.91140529531568,30.119144602851325,0.09147290996232225
Arizona,2014,0.01610789703632694,0.02656135721493442,0.000936728934409689,0.4058642946518677,2.36226034308779,7.070635721493441,44.73965691220989,31.290615539858727,0.11236756945938468
Arizona,2015,0.012698742684055112,0.028145092519685087,0.000597132933070866,0.3569322844488191,1.6368110236220472,6.0,44.89763779527559,26.20767716535433,0.09959331314640754
Arizona,2016,0.015811195011764697,0.022137347058823524,0.00040799584705882323,0.46871347647058825,1.1176470588235294,7.788235294117647,37.370588235294115,29.652941176470588,0.12676750359705882
Arkansas,2007,0.01078174473351648,0.024740642857142878,0.003170609843406594,0.5909455329670332,6.447802197802198,8.39010989010989,34.94505494505494,22.88736263736264,0.1574096326002748
Arkansas,2008,0.00899139492896175,0.024889740437158477,0.001766043215846994,0.4454324617486334,4.527322404371585,6.459016393442623,32.35792349726776,19.838797814207652,0.12026991008265014
Arkansas,2009,0.009146337060273978,0.024487189041095894,0.001738674156164385,0.4249689150684932,4.463013698630137,6.2465753424657535,31.69041095890411,18.84931506849315,0.11508527883150686
Arkansas,2010,0.01000474883749999,0.02764992013888892,0.0013040755368055512,0.456336543055556,3.011111111111111,6.486111111111111,36.015277777777776,21.80902777777778,0.12382382189218762
Arkansas,2011,0.009982133810958896,0.027461282191780803,0.0013814368931506836,0.448421432876712,2.9863013698630136,6.178082191780822,35.701369863013696,21.115068493150684,0.12181157144315059
Arkansas,2012,0.010571701807113532,0.02788028180574562,0.0013205987770177842,0.4682458536251698,2.7852257181942544,6.459644322845417,36.482900136798904,23.77564979480164,0.12700460900376168
Arkansas,2013,0.009791679257534264,0.025577408219178054,0.0013155533630137,0.3851458657534247,2.4315068493150687,5.428767123287671,35.676712328767124,22.013698630136986,0.10545762664828767
Arkansas,2014,0.00886205075616438,0.023851506849314946,0.0011574839616438327,0.34780512465753427,2.326027397260274,4.778082191780822,33.37260273972603,20.041095890410958,0.09541904155616436
Arkansas,2015,0.008612832870879116,0.024334931318681315,0.0011253333763736257,0.30612627472527476,2.3653846153846154,4.25,33.456043956043956,19.423076923076923,0.08504984307280221
Arkansas,2016,0.008661112791208795,0.026009593406593406,0.0006772785054945054,0.32272989010989006,0.8241758241758241,4.637362637362638,32.824175824175825,20.274725274725274,0.08951946870329669
California,2000,0.017580979663830633,0.023675493216831545,0.001730039137387914,0.6475078108760661,6.0457576454357325,11.268912393653714,32.71614164175673,29.99344676937227,0.17262358072352907
California,2001,0.017758503243257673,0.024845459116793814,0.0018229172694746094,0.6254020833781001,6.3330826259804445,10.6157730740303,34.300741377457825,30.47996131943698,0.16745724075190654
California,2002,0.016757113547704573,0.026341616000821667,0.001636501480332761,0.6049189433090268,5.476738215055972,10.288487213720858,35.384307281503546,28.787511553866693,0.16241354358447146
California,2003,0.015794648601192944,0.02564425672451199,0.001506606395986987,0.5779912134490276,4.833297180043384,9.748373101952277,35.5885032537961,27.58600867678959,0.15523418129267988
California,2004,0.01514270217027052,0.025996299893654772,0.001841613031194627,0.520203041002007,5.537870731419119,8.617511520737327,34.673756351175705,26.361573909961006,0.14079591402428174
California,2005,0.013966157755535032,0.025121371309963086,0.0016650311514068456,0.46161012834409415,4.965405904059041,7.593980627306273,33.47301660516605,24.521563653136532,0.12559067214024977
California,2006,0.014016162019892303,0.02627315808565408,0.0013913322223262463,0.44657589796395686,4.760121694359935,7.402527498244793,34.93201497776737,25.069857243154694,0.12206413757295737
California,2007,0.013080410197582767,0.026669308945721375,0.0012238582585518513,0.41790475526060566,3.9398942484083306,6.7350814718895,34.51548505449444,23.681989856479984,0.11471958316561541
California,2008,0.01297797296072112,0.02697628031189086,0.0011019225070175306,0.39239913352826594,3.5504873294346977,6.336744639376218,36.65428849902534,23.721832358674465,0.10836382732697386
California,2009,0.012917624975656038,0.02613807906197658,0.0010128628767169176,0.3969994694584004,2.836404243439419,6.438860971524288,35.32071468453378,22.89424902289224,0.10926700909318748
California,2010,0.012243274501022142,0.02567068226097413,0.0007300730589296495,0.3462044222489453,2.085628382441371,5.5374624173181,33.541190619362595,21.953337342152736,0.0962121130174678
California,2011,0.012285100108995554,0.02613213199272655,0.0007184886886298051,0.36259082821691185,1.8042571398010483,5.76906621028987,35.747673547973044,21.737618996684137,0.10043163725181595
California,2012,0.0110766702669337,0.026867236829327616,0.0006094327823500829,0.3385978434085888,1.5118960912842923,5.3901432386501575,35.90543821315853,19.642146151978636,0.09428779582180005
California,2013,0.011763443991184,0.0260749541345831,0.0004842077710076987,0.356878329204327,1.2603504073206115,5.6745898895212585,37.69456533868988,20.671353643566565,0.09880023377527544
California,2014,0.010883757424498378,0.02695714267276792,0.0005024587836442514,0.3457433512847514,1.2272673941100551,5.407720286284173,40.74680276897806,19.62865188313974,0.0960216775414155
California,2015,0.010269494693140367,0.027560055825833072,0.00046727977073704273,0.3344378555096041,1.2454390659207006,5.364874726343955,41.070785696910725,18.935538798345902,0.09318367144982864
